Username,Profile URL,Subscribers,Twitter,Instagram,TikTok,LinkedIn,Facebook,YouTube,Linktree,Threads,Bluesky,GitHub,Medium,Other,Scraped At,Category
henkvaness,https://substack.com/@henkvaness,10000,http://twitter.com/henkvaness,,,http://linkedin.com/in/searchbistro,,,,,,,,https://www.digitaldigging.org/?utm_campaign=profile_chips,2026-01-22 01:51:31,Technology
alexmcfarland,https://substack.com/@alexmcfarland,11000,,,,,,,,,,,,,2026-01-22 01:51:31,Technology
haohoang1,https://substack.com/@haohoang1,4800,,,,https://www.linkedin.com/in/hoang-van-hao/,,,,,,,,,2026-01-22 01:51:31,Technology
powermetal,https://substack.com/@powermetal,3700,,,,,,,,,,,,https://vincebeiser.com/,2026-01-22 01:51:31,Technology
bowtiedfullstack,https://substack.com/@bowtiedfullstack,829,https://twitter.com/BowTiedStack,,,,,,,,,,,https://bowtiedstack.com/?utm_campaign=profile_chips,2026-01-22 01:51:31,Technology
fipa,https://substack.com/@fipa,13000,,,,,,,,,,,,,2026-01-22 01:51:31,Technology
beh1ndthemeter,https://substack.com/@beh1ndthemeter,5,,,,,,,,,,,,,2026-01-22 01:51:31,Technology
natcommag,https://substack.com/@natcommag,0,,,,,https://facebook.com/NatComMag,,,,,,,https://www.NatComMag.com,2026-01-22 01:51:31,Technology
chamath,https://substack.com/@chamath,230000,https://twitter.com/chamath,,,,,,,,,,,,2026-01-22 01:51:31,Technology
siliconomy,https://substack.com/@siliconomy,9300,https://twitter.com/clausaasholm,,,https://www.linkedin.com/in/clausaasholm/,,,,,,,,,2026-01-22 01:51:31,Technology
petergyang,https://substack.com/@petergyang,143000,https://twitter.com/petergyang,,,,,https://www.youtube.com/@peteryangyt,,,,,,https://creatoreconomy.so/?utm_campaign=profile_chips,2026-01-22 01:51:31,Technology
peterdiamandis,https://substack.com/@peterdiamandis,145000,,,,,https://www.facebook.com/PeterDiamandis/,,,,,,,https://www.diamandis.com/,2026-01-22 01:51:31,Technology
taylorlorenz,https://substack.com/@taylorlorenz,96000,,https://instagram.com/taylorlorenz,,,,,,,,,,https://www.usermag.co/?utm_campaign=profile_chips,2026-01-22 01:51:31,Technology
kisanpakhreen,https://substack.com/@kisanpakhreen,10000,,,,,,,https://linktr.ee/kisanpakhreen,,,,,,2026-01-22 01:51:31,Technology
luizajarovsky,https://substack.com/@luizajarovsky,0,,,,https://www.linkedin.com/in/luizajarovsky/,,,,,,,,https://www.luizasnewsletter.com/?utm_campaign=profile_chips,2026-01-22 01:51:31,Technology
elarjonauta,https://substack.com/@elarjonauta,1000,,https://instagram.com/elarjonauta,,,https://facebook.com/elarjonauta,,,,,,,,2026-01-22 01:51:31,Technology
stevemke,https://substack.com/@stevemke,343,,,,https://www.linkedin.com/company/expmke,,,,,,,,https://www.steve-glynn.com/,2026-01-22 01:51:31,Technology
technosexual,https://substack.com/@technosexual,21,,https://instagram.com/kaamnalive,,,,,,,,,,https://www.kaamnalive.com,2026-01-22 01:51:31,Technology
lusheradvisory,https://substack.com/@lusheradvisory,866,,,,https://www.linkedin.com/in/carterlusher/,,,,,,,,,2026-01-22 01:51:31,Technology
theseanclaude,https://substack.com/@theseanclaude,287,,https://instagram.com/seanclaude_ai,https://tiktok.com/@seanclaude_ai,,,,,,,,,,2026-01-22 01:51:31,Technology
techtaiwan,https://substack.com/@techtaiwan,3700,,,,,,https://www.youtube.com/playlist?list=PLyYI2fZBFmkK0C3I2EUCvkx1Wv1hWYFuJ,,,,,,,2026-01-22 01:51:31,Technology
garymarcus,https://substack.com/@garymarcus,96000,https://twitter.com/GaryMarcus,,,,,,,,,,,,2026-01-22 01:51:31,Technology
